CD_PRODCOM_2016|TX_PRODCOM_FR|TX_PRODCOM_NL|CD_UNIT|CD_TYPE
24.41.20.50|Or, y compris l’or platiné, sous formes mi-ouvrées, à usage non monétaire (à l’exclusion de l’or|Niet-monetair goud, halfbewerkt (incl. geplatineerd) (excl. onbewerkt of in poedervorm)|kg|T
24.41.20.70|Or, y compris l’or platiné, à usage monétaire|Monetair goud (incl. geplatineerd)|kg|T
24.41.30.30|Platine, palladium, rhodium, iridium, osmium et ruthénium, sous formes brutes ou en poudre|Platina, palladium, rhodium, iridium, osmium en ruthenium, onbewerkt of in poedervorm|kg|T
24.41.30.50|Platine, palladium, rhodium, iridium, osmium et ruthénium, sous formes mi-ouvrées|Platina, palladium, rhodium, iridium, osmium en ruthenium, halfbewerkt (excl. onbewerkt of in poedervorm)|kg|T
24.41.30.70|Catalyseurs sous forme de toiles ou de treillis en platine|Katalysatoren in de vorm van platinadoek of platinagaas|kg|-
24.41.40.00|Plaqué ou doublé d’or sur métaux communs, sous formes brutes ou mi-ouvrées|Onedele metalen en zilver, geplateerd met goud, onbewerkt of halfbewerkt|kg|T
24.41.50.30|Plaqué et doublé d’argent sur métaux communs, sous formes brutes ou mi-ouvrées|Onedele metalen geplateerd met zilver, onbewerkt of halfbewerkt|kg|T
24.41.50.50|Plaqué ou doublé de platine sur métaux communs, sous formes brutes ou mi-ouvrées|Onedele metalen, zilver en goud, geplateerd met platina, onbewerkt of halfbewerkt|kg|T
24.42.11.30|Aluminium non allié, sous forme brute|Ruw aluminium, niet gelegeerd (excl. poeder en schilfers)|kg|T
24.42.11.54|Aluminium allié, sous forme brute (à l’exclusion des poudres et paillettes d’aluminium)|Legeringen van ruw aluminium, in primaire vorm (excl. poeder en schilfers)|kg|T
24.42.12.00|Oxyde d’aluminium (à l’exclusion du corindon artificiel)|Aluminiumoxide (excl. kunstmatig korund)|kg|T
24.42.21.00|Poudres et paillettes d’aluminium (à l’exclusion des produits préparés comme couleurs, peintures, etc.)|Poeder en schilfers, van aluminium (excl. poeders en schilfers die tot kleur- en verfstoffen zijn bereid)|kg|T
24.42.22.30|Barres et profilés en aluminium non allié (à l’exclusion des produits préparés en vue de leur utilisation dans la construction)|Staven en profielen, van niet-gelegeerd aluminium (excl. die welke zijn gereedgemaakt voor gebruik in constructiewerken)|kg|T
24.42.22.50|Barres et profilés en aluminium allié (à l’exclusion des produits préparés en vue de leur utilisation dans la construction)|Staven en profielen, van aluminiumlegeringen (excl. die welke zijn gereedgemaakt voor gebruik in constructiewerken)|kg|T
24.42.23.30|Fils en aluminium non allié (à l’exclusion des fils et câbles isolés pour l’électricité, des ficelles et cordages renforcés à l’aide de fils d’aluminium et des fils et câbles multibrins)|Draad van niet-gelegeerd aluminium (excl. geïsoleerd draad voor het geleiden van elektriciteit, bindgaren en touw versterkt met aluminiumdraad en kabels)|kg|T
24.42.23.50|Fils en aluminium allié (à l’exclusion des fils et câbles isolés pour l’électricité, des ficelles et cordages renforcés à l’aide de fils d’aluminium et des fils et câbles multibrins)|Draad van aluminiumlegeringen (excl. geïsoleerd draad voor het geleiden van elektriciteit, bindgaren en touw versterkt met aluminiumdraad en kabels)|kg|T
24.42.24.30|Tôles et bandes en aluminium non allié, d’une épaisseur > 0,2 mm|Platen, bladen en strippen, van niet-gelegeerd aluminium, met een dikte > 0,2 mm|kg|T
24.42.24.50|Tôles et bandes en alliages d’aluminium, d’une épaisseur > 0,2 mm|Platen, bladen en strippen, van aluminiumlegeringen, met een dikte > 0,2 mm, gelegeerd|kg|T
24.42.25.00|Feuilles et bandes minces, aluminium, d’une épaisseur <= 0,2 mm (à l’exclusion de tout support)|Bladaluminium met een dikte, een eventuele drager niet meegerekend, <=  0,2 mm|kg|T
24.42.26.30|Tubes et tuyaux en aluminium non allié (à l’exclusion des profilés creux, des accessoires de tuyauterie, des tuyaux flexibles et des tubes et tuyaux préparés en vue de leur utilisation dans la construction, dans des parties de machines ou d’appareils, dans des véhicules et similaires)|Buizen en pijpen, van niet-gelegeerd aluminium (excl. holle profielen, hulpstukken (fittings) voor buisleidingen, buigzame buizen (slangen), en buizen en pijpen, gereedgemaakt voor gebruik in constructiewerken, of als delen van machines, apparaten of vervoermiddelen en dergelijke)|kg|T
24.42.26.50|Tubes et tuyaux en alliages d’aluminium (à l’exclusion des profilés creux, des accessoires de tuyauterie, des tuyaux flexibles et des tubes et tuyaux préparés en vue de leur utilisation dans la construction, dans des parties de machines ou d’appareils, dans des véhicules et similaires)|Buizen en pijpen, van aluminiumlegeringen (excl. holle profielen, hulpstukken (fittings) voor buisleidingen, buigzame buizen (slangen), en buizen en pijpen, gereedgemaakt voor gebruik in constructiewerken, of als delen van machines, apparaten of vervoermiddelen en dergelijke)|kg|T
24.42.26.70|Accessoires de tuyauterie (raccords, coudes, manchons, etc.) en aluminium (à l’exclusion des robinets, clapets et valves, supports, articles de boulonnerie et colliers)|Hulpstukken (fittings) voor buisleidingen, van aluminium (incl. verbindingsstukken, ellebogen, moffen) (excl. hulpstukken voorzien van kranen of dergelijke artikelen, gewoon bout- en schroefwerk en bevestigingsbeugels en andere bevestigingselementen)|kg|T
24.43.11.30|Plomb affiné sous forme brute (à l’exclusion des poudres et paillettes de plomb)|Ruw lood, geraffineerd (excl. poeder en schilfers)|kg|T
24.43.11.50|Plomb sous forme brute contenant de l’antimoine (à l’exclusion des poudres et paillettes de plomb)|Ruw lood, antimoon bevattend (excl. poeder en schilfers)|kg|T
24.43.11.90|Plomb sous forme brute (à l’exclusion des poudres et paillettes de plomb, du plomb contenant de l’antimoine et du plomb affiné)|Ruw lood (excl. poeder en schilfers, ruw lood, antimoon bevattend en geraffineerd ruw lood))|kg|T
24.43.12.30|Zinc non allié sous forme brute (à l’exclusion de la poussière, des poudres et des paillettes de zinc)|Ruw zink, niet gelegeerd (excl. zinkstof, zinkpoeder en schilfers van zink)|kg|T
24.43.12.50|Alliages de zinc sous forme brute (à l’exclusion de la poussière, des poudres et des paillettes de zinc)|Zinklegeringen, ruw (excl. zinkstof, zinkpoeder en schilfers van zink)|kg|T
24.43.13.30|Étain non allié sous forme brute (à l’exclusion des poudres et des paillettes d’étain)|Ruw tin, niet gelegeerd (excl. poeder en schilfers)|kg|T
24.43.13.50|Alliages d’étain sous forme brute (à l’exclusion des poudres et des paillettes d’étain)|Tinlegeringen, ruw (excl. poeder en schilfers)|kg|T
24.43.21.00|Tables, feuilles, bandes, poudres et paillettes en plomb (à l’exclusion des feuilles isolantes électriques et des poudres et paillettes préparées comme couleurs, peintures, etc.)|Platen, bladen en strippen, van lood; poeder en schilfers, van lood (excl. poeder en schilfersdie tot kleur- en verfstoffen zijn bereid, en geïsoleerde strip voor het geleiden van elektriciteit)|kg|T
24.43.22.00|Poussières, poudres et paillettes de zinc (à l’exclusion des granulés et grenailles en zinc et des poudres et paillettes préparées comme couleurs, peintures, etc.)|Zinkstof; poeder en schilfers, van zink (excl. die welke zijn bereid als kleurmiddelen, verfstoffen en dergelijke en excl. zinkkorrels)|kg|T
24.43.23.00|Barres, profilés, fils, tôles, feuilles et bandes en zinc|Staven, profielen, draad, platen, bladen en strippen, van zink|kg|T
24.43.24.00|Barres, profilés et fils en étain|Staven, profielen en draad, van tin|kg|T
24.44.11.00|Mattes de cuivre; cuivre de cément (précipité de cuivre) (à l’exclusion des poudres de cuivre)|Kopersteen of ruwsteen; cementkoper (neergeslagen koper)|kg|T
24.44.12.00|Cuivre non affiné, y compris le cuivre blister; anodes en cuivre pour affinage électrolytique (à l’exclusion du cuivre électrolytique et des anodes pour placage)|Niet-geraffineerd koper; anoden van koper voor het elektrolytisch raffineren (incl. "blister copper") (excl. anoden voor de galvanotechniek)|kg|T
24.44.13.30|Cuivre affiné non allié sous forme brute (à l’exclusion des produits frittés laminés, filés ou forgés)|Geraffineerd koper, ruw, niet gelegeerd (excl. gewalste, getrokken of gesmede gesinterde producten)|kg|T
24.44.13.70|Alliages de cuivre affiné sous forme brute (à l’exclusion des produits frittés laminés, filés ou forgés); alliages mères de cuivre, y compris ceux ne se prêtant généralement pas à la déformation plastique (à l’exclusion des combinaisons cuivre-phosphore [phosphore de cuivre] à teneur en poids en phosphore > 15 %)|Koperlegeringen, ruw (excl. gewalste, getrokken of gesmede gesinterde producten); toeslaglegeringen van koper (incl. niet goed vervormbare legeringen) (excl. koperfosfide (fosforkoper) bevattende > 15 gewichtspercenten fosfor)|kg|T
24.44.21.00|Poudres et paillettes de cuivre (à l’exclusion du cuivre de cément, des poudres et paillettes utilisées dans la préparation de peintures comme l’or et le bronze [composés chimiques] et des billettes de cuivre affiné)|Poeder en schilfers, van koper (excl. cementkoper (neergeslagen koper), poeder en schilfers die gebruikt worden bij de vervaardiging van verfstoffen, aangeduid als "brons" of als "verguldsel", (chemische verbindingen), geraffineerd koper in korrels)|kg|T
24.44.22.00|Barres, profilés et profilés creux en cuivre et en alliages de cuivre (à l’exclusion des produits obtenus par moulage ou frittage et du fil-machine en bobines)|Staven, profielen en holle profielen, van koper of van koperlegeringen (excl. door gieten of sinteren verkregen staven, walsdraad van koper)|kg|T
24.44.23.30|Fils en cuivre affiné, en alliages de cuivre, dont la plus grande dimension de la coupe transversale excède > 6 mm|Draad van geraffineerd koper, met een dwarsdoorsnede > 6 mm, of van koperlegeringen|kg|T
24.44.23.50|Fils en cuivre affiné, dont la plus grande dimension de la coupe transversale <= 6 mm mais > 0,5 mm (à l’exclusion des ficelles et cordages renforcés à l’aide de fils et des fils et câbles multibrins)|Draad van geraffineerd koper, met een dwarsdoorsnede > 0,5 mm doch <= 6 mm (excl. bindgaren en touw, versterkt met koperdraad, kabels)|kg|T
24.44.23.70|Fils en cuivre affiné, dont la plus grande dimension de la coupe transversale <= 0,5 mm (à l’exclusion des ficelles et cordages renforcés à l’aide de fils et des fils et câbles multibrins)|Draad van geraffineerd koper, met een dwarsdoorsnede <= 0,5 mm (excl. bindgaren en touw, versterkt met koperdraad, kabels)|kg|T
24.44.24.00|Tôles et bandes en cuivre et en alliages de cuivre, d’une épaisseur > 0,15 mm (à l’exclusion du cuivre métallique déployé et des bandes isolées pour l’électricité)|Platen, bladen en strippen, van koper, met een dikte > 0,15 mm (excl. plaatgaas, verkregen door het uitrekken van ingekeepte plaat, geïsoleerde strippen voor het geleiden van elektriciteit)|kg|T
24.44.25.00|Feuilles et bandes minces en cuivre, sans support, d’une épaisseur <= 0,15 mm|Bladkoper met een dikte, een eventuele drager niet meegerekend, <= 0,15 mm|kg|T
24.44.26.30|Tubes et tuyaux en cuivre|Buizen en pijpen, van koper|kg|T
24.44.26.50|Accessoires de tuyauterie en cuivre|Hulpstukken (fittings) voor buizen (incl. verbindingsstukken, ellebogen, moffen) van koper of van koperlegeringen (excl. bouten en moeren voor het bevestigen en samenvoegen van buizen en pijpen, hulpstukken voorzien van kranen, ventielen enz.)|kg|T
24.45.11.00|Nickel sous forme brute|Ruw nikkel|kg|T
24.45.12.00|Mattes de nickel, sinters d’oxydes de nickel et autres produits intermédiaires de la métallurgie du nickel, y compris les oxydes de nickel impurs, le speiss de nickel et le ferro-nickel impur|Nikkelmatte, nikkeloxidesinters en andere tussenproducten van de nikkelmetallurgie (incl. onzuivere nikkeloxiden, nikkelspijs, onzuiver ferronikkel)|kg|T
24.45.21.00|Poudres et paillettes de nickel (à l’exclusion des sinters d’oxydes de nickel)|Poeder en schilfers, van nikkel (excl. nikkeloxidesinters)|kg|T
24.45.22.00|Barres, profilés et fils en nickel et en alliages de nickel (à l’exclusion des produits préparés en vue de leur utilisation dans la construction, des barres et fils isolés pour l’électricité et des fils émaillés )|Staven, profielen en draad, van nikkel en van nikkellegeringen (excl. staven en profielen, gereedgemaakt voor gebruik in constructiewerken, en staven en draad, geïsoleerd voor het geleiden van elektriciteit)|kg|T
24.45.23.00|Tôles, bandes et feuilles en nickel et en alliages de nickel (à l’exclusion des produits déployés)|Platen, bladen en strippen, van nikkel of van nikkellegeringen (excl. plaatgaas verkregen door het uitrekken van ingekeepte platen of banden)|kg|T
24.45.24.00|Tubes, tuyaux et accessoires de tuyauterie en nickel|Buizen en pijpen, alsmede hulpstukken (fittings) voor buisleidingen, van nikkel|kg|T
24.45.30.13|Tungstène (wolfram) et ouvrages en tungstène (à l’exclusion des déchets et débris) n.c.a.|Wolfraam en werken daarvan (excl. resten en afval), n.e.g.|kg|T
24.45.30.17|Molybdène et ouvrages en molybdène (à l’exclusion des déchets et débris) n.c.a.|Molybdeen en werken daarvan (excl. resten en afval), n.e.g.|kg|T
24.45.30.23|Tantale et ouvrages en tantale (à l’exclusion des déchets et débris) n.c.a.|Tantaal en werken daarvan (excl. resten en afval), n.e.g.|kg|T
24.45.30.25|Magnésium et ouvrages en magnésium (à l’exclusion des déchets et débris) n.c.a.|Magnesium en werken daarvan (excl. resten en afval), n.e.g.|kg|T
24.45.30.27|Mattes de cobalt et autres produits intermédiaires de la métallurgie du cobalt; cobalt et ouvrages en cobalt (à l’exclusion des déchets et débris) n.c.a.|Kobaltmatte en andere tussenproducten van de kobaltmetallurgie; kobalt en werken daarvan (excl. resten en afval), n.e.g.|kg|T
24.45.30.30|Bismuth et ouvrages en bismuth, y compris les déchets et débris, n.c.a.; cadmium et ouvrages en cadmium (à l’exclusion des déchets et débris) n.c.a.|Bismut en werken daarvan (incl. resten en afval), n.e.g.; cadmium en werken daarvan (excl. resten en afval), n.e.g.|kg|T
24.45.30.43|Titane et ouvrages en titane (à l’exclusion des déchets et débris) n.c.a.|Titaan en werken daarvan (excl. resten en afval), n.e.g.|kg|T
24.45.30.47|Zirconium et ouvrages en zirconium (à l’exclusion des déchets et débris) n.c.a.; antimoine et ouvrages en antimoine (à l’exclusion des déchets et débris) n.c.a.|Zirkonium en werken daarvan (excl. resten en afval), n.e.g.; antimoon en werken daarvan (excl. resten en afval), n.e.g.|kg|T
24.45.30.55|Béryllium, chrome, germanium, vanadium, gallium, hafnium («celtium»), indium, niobium («columbium»), rhénium et thallium, ainsi que les ouvrages en ces métaux n.c.a.; déchets et débris de ces métaux (à l’exclusion des déchets et débris de béryllium, de chrome et de thallium)|Beryllium, chroom, germanium, vanadium, gallium, hafnium (celtium), indium, niobium (columbium), rhenium en thallium, alsmede werken van deze metalen, n.e.g.; resten en afval van deze metalen (excl. die van beryllium, chroom en thallium)|kg|T
24.45.30.57|Manganèse et ouvrages en manganèse, y compris les déchets et débris, n.c.a.; cermets et ouvrages en cermets, y compris les déchets et débris, n.c.a.|Mangaan en werken daarvan, incl. resten en afval, n.e.g.; cermets en werken daarvan, incl. resten en afval, n.e.g.|kg|T
24.51.11.10|Parties de véhicules routiers, moteurs à piston et autres machines, appareils et engins mécaniques, en fonte malléable|Delen van smeedbaar gietijzer voor voertuigen voor vervoer over land, voor zuigermotoren en voor andere machines, toestellen en mechanische werktuigen|kg|-
24.51.11.90|Pièces en fonte malléable pour autres utilisations|Delen van smeedbaar gietijzer voor ander gebruik|kg|-
24.51.12.10|Parties de véhicules routiers en fonte à graphite sphéroïdal|Delen van nodulair gietijzer voor voertuigen voor vervoer over land|kg|-
24.51.12.20|Arbres de transmission, vilebrequins, arbres à cames, manivelles, paliers (autres qu’à roulements incorporés) et coussinets en fonte à graphite sphéroïdal|Delen van nodulair gietijzer voor drijfwerkassen, nokkenassen, krukassen, kussenblokken en lagerschalen (excl. die voor kussenblokken voorzien van kogel-, rol-, naald- of dergelijke lagers)|kg|-
24.51.12.40|Autres parties des moteurs à piston et des organes mécaniques en fonte à graphite sphéroïdal|Andere delen van nodulair gietijzer voor zuigermotoren en aandrijvingselementen|kg|-
24.51.12.50|Parties de machines, appareils et engins mécaniques en fonte à graphite sphéroïdal (à l’exclusion des moteurs à piston)|Delen van nodulair gietijzer voor machines, toestellen en mechanische werktuigen (excl. die voor zuigermotoren)|kg|-
24.51.12.90|Pièces en fonte à graphite sphéroïdal pour locomotives/matériel roulant et autre utilisation (à l’exclusion des parties de véhicules routiers, des paliers et coussinets, des parties de moteurs à piston, des transmissions, des poulies, des embrayages et des parties d’autres machines, appareils et engins mécaniques)|Delen van nodulair gietijzer voor rollend en ander materieel voor spoor- en tramwegen, alsmede delen daarvan (excl. die voor voertuigen voor vervoer te land, kussenblokken, lagerschalen, zuigermotoren, getande overbrengingen, riemschijven, koppelingen en machines)|kg|-
24.51.13.10|Parties de véhicules routiers en fonte grise (à l’exclusion des locomotives/du matériel roulant et des véhicules utilisés dans l’industrie de la construction)|Delen van grijs gietijzer voor voertuigen voor vervoer over land (excl. die voor rollend en ander materieel voor spoor- en tramwegen en voertuigen voor de bouwnijverheid)|kg|-
24.51.13.20|Arbres de transmission, vilebrequins, arbres à cames, manivelles, paliers (autres qu’à roulements incorporés) et coussinets en fonte grise|Delen van grijs gietijzer voor drijfwerkassen, nokkenassen, krukassen en krukken, kussenblokken en lagerschalen (excl. die voor kussenblokken voorzien van kogel-, rol-, naald- of dergelijke lagers)|kg|-
24.51.13.40|Autres parties des moteurs à piston et des organes mécaniques en fonte grise|Andere delen van grijs gietijzer voor zuigermotoren en aandrijvingselementen|kg|-
24.51.13.50|Parties de machines, appareils et engins mécaniques en fonte grise (à l’exclusion des moteurs à piston)|Delen van grijs gietijzer voor machines, toestellen en mechanische werktuigen (excl. die voor zuigermotoren)|kg|-
24.51.13.90|Pièces en fonte grise pour locomotives/matériel roulant et autre utilisation (à l’exclusion des parties de véhicules routiers, des paliers et coussinets, des parties de moteurs à piston, des transmissions, des poulies, des embrayages et des parties d’autres machines, appareils et engins mécaniques)|Delen van grijs gietijzer voor rollend en ander materieel voor spoor- en tramwegen, alsmede delen daarvan (excl. die voor voertuigen voor vervoer te land, kussenblokken, lagerschalen, zuigermotoren, getande overbrengingen, riemschijven, koppelingen en machines)|kg|-
24.51.20.00|Tubes, tuyaux et profilés creux en fonte (à l’exclusion des tubes, tuyaux et profilés creux constituants des parties identifiables d’ouvrages comme les parties de radiateurs de chauffage central ou les parties de machines)|Buizen, pijpen en holle profielen, van gietijzer (excl. die welke zijn verwerkt tot delen van bepaalde artikelen, zoals elementen van radiatoren voor centrale verwarming en delen van machines)|kg|T
24.51.30.30|Accessoires de tuyauterie moulés en fonte non malléable|Hulpstukken (fittings) voor buisleidingen, van niet-smeedbaar gietijzer|kg|T
24.51.30.50|Accessoires de tuyauterie moulés en fonte malléable|Hulpstukken (fittings) voor buisleidingen, van smeedbaar gietijzer|kg|T
24.52.10.10|Parties de véhicules routiers en acier moulé (à l’exclusion des locomotives/du matériel roulant et des véhicules utilisés dans l’industrie de la construction)|Delen van gietstaal voor voertuigen voor vervoer over land (excl. die voor rollend en ander materieel voor spoor- en tramwegen en voertuigen voor de bouwnijverheid)|kg|-
24.52.10.30|Paliers, autres qu’à roulements incorporés, et coussinets en acier moulé|Delen van gietstaal voor kussenblokken en lagerschalen (excl. die voor kussenblokken voorzien van kogel-, rol-, naald- of dergelijke lagers)|kg|-
24.52.10.40|Autres parties des moteurs à piston et des organes mécaniques en acier moulé|Andere delen van gietstaal voor zuigermotoren en aandrijvingselementen|kg|-
24.52.10.50|Parties de machines, appareils et engins mécaniques en acier moulé (à l’exclusion des moteurs à piston, des turboréacteurs et des turbopropulseurs, des autres turbines à gaz, des appareils de manutention et de levage et des machines et véhicules utilisés dans l’industrie de la construction)|Delen van gietstaal voor machines, toestellen en mechanische werktuigen (excl. die voor zuigermotoren, turbinestraalmotoren, andere gasturbines, hef- en hijswerktuigen en machines en voertuigen voor de bouwnijverheid)|kg|-
24.52.10.90|Pièces en acier moulé pour locomotives/matériel roulant et autre utilisation (à l’exclusion des parties de véhicules routiers, des paliers et coussinets, des parties de moteurs à piston, des transmissions, des poulies, des embrayages et des parties d’autres machines, appareils et engins mécaniques)|Delen van gietstaal voor rollend en ander materieel voor spoor- en tramwegen, alsmede delen daarvan (excl. die voor voertuigen voor vervoer te land, kussenblokken, lagerschalen, zuigermotoren, getande overbrengingen, riemschijven, koppelingen en machines)|kg|-
24.52.30.00|Accessoires de tuyauterie en acier moulé|Hulpstukken (fittings) voor buisleidingen, van gietstaal|kg|T
24.53.10.10|Parties de véhicules routiers en métaux légers (à l’exclusion des locomotives/du matériel roulant et des véhicules utilisés dans l’industrie de la construction)|Delen van lichtmetaalgietwerk voor voertuigen voor vervoer over land (excl. die voor rollend en ander materieel voor spoor- en tramwegen en voertuigen voor de bouwnijverheid)|kg|-
24.53.10.20|Arbres de transmission, vilebrequins, arbres à cames, manivelles, paliers (autres qu’à roulements incorporés) et coussinets en métaux légers|Delen van lichtmetaalgietwerk voor drijfwerkassen, nokkenassen, krukassen en krukken, kussenblokken en lagerschalen (excl. die voor kussenblokken voorzien van kogel-, rol-, naald- of dergelijke lagers)|kg|-
24.53.10.40|Autres parties des moteurs à piston et des organes mécaniques en métaux légers|Andere delen van lichtmetaalgietwerk voor zuigermotoren en aandrijvingselementen|kg|-
24.53.10.50|Parties de machines, appareils et engins mécaniques en métaux légers (à l’exclusion des moteurs à piston, des turboréacteurs et des turbopropulseurs, des autres turbines à gaz, des appareils de manutention et de levage et des machines et véhicules utilisés dans l’industrie de la construction)|Delen van lichtmetaalgietwerk voor machines, toestellen en mechanische werktuigen (excl. die voor zuigermotoren, turbinestraalmotoren, andere gasturbines, hef- en hijsmachines en -toestellen en machines en voertuigen voor de bouwnijverheid)|kg|-
24.53.10.90|Pièces en métaux légers pour autres utilisations|Delen van lichtmetaalgietwerk voor ander gebruik|kg|-
24.54.10.10|Parties de véhicules routiers en autres métaux non ferreux (à l’exclusion des locomotives/du matériel roulant, des chariots-cavaliers, des chariots-grues, des rouleaux agricoles, des rouleaux compresseurs, des bulldozers, etc.)|Delen van non-ferrometaalgietwerk, voor voertuigen voor vervoer over land (excl. die voor rollend en ander materieel voor spoor- en tramwegen, portaalwagens, transportwagens voorzien van hef- en hijsmachines en –toestellen, rollers voor gras- en sportvelden, wegwalsen, bulldozers enz.)|kg|-
24.54.10.20|Arbres de transmission, vilebrequins, arbres à cames, manivelles, paliers (autres qu’à roulements incorporés) et coussinets en autres métaux non ferreux|Delen van ander non-ferrometaalgietwerk dan lichtmetaalgietwerk, voor drijfwerkassen, nokkenassen, krukassen en krukken, kussenblokken en lagerschalen (excl. die voor kussenblokken voorzien van kogel-, rol-, naald- of dergelijke lagers)|kg|-
24.54.10.40|Autres parties des moteurs à piston et des organes mécaniques en autres métaux non ferreux|Andere delen van zuigermotoren en aandrijvingselementen|kg|-
24.54.10.50|Parties de machines, appareils et engins mécaniques en autres métaux non ferreux (à l’exclusion des moteurs à piston)|Delen van ander non-ferrometaalgietwerk dan lichtmetaalgietwerk, voor machines, toestellen en mechanische werktuigen (excl. die voor zuigermotoren)|kg|-
24.54.10.90|Pièces en autres métaux non ferreux pour autres utilisations|Delen voor ander gebruik|kg|-
25.11.10.30|Constructions préfabriquées en fonte, en fer ou en acier|Geprefabriceerde bouwwerken van ijzer of van staal|-|-
25.11.10.50|Constructions préfabriquées en aluminium|Geprefabriceerde bouwwerken van aluminium|-|-
25.11.21.00|Ponts et éléments de ponts en fonte, en fer ou en acier|Bruggen en brugdelen, van ijzer of van staal|kg|-
25.11.22.00|Tours et pylônes en fonte, en fer ou en acier|Vakwerkmasten en andere masten, van ijzer of van staal|kg|-
25.11.23.10|Matériel d’échafaudage, de coffrage, d’étançonnement ou d’étayage en fonte, en fer ou en acier, y compris les chevalements d’extraction pour puits de mines, les poutres extensibles de coffrage, les échafaudages tubulaires et matériel similaire|Steiger-, bekistings-, steun- en stutmateriaal, van ijzer of van staal (incl. schachtblokken voor mijnen, verstelbare of telescopische stijlen (stutten) en buisvormig steigermateriaal en dergelijk materiaal)|kg|-
25.11.23.50|Autres constructions et parties de constructions en fonte, en fer ou en acier, principalement en tôle|Andere constructiewerken, hoofdzakelijk bestaande uit platen: overige|kg|-
25.11.23.55|Barrages, vannes, portes-écluses, débarcadères, docks fixes et autres constructions maritimes ou fluviales, en fonte, en fer ou en acier, et constructions et parties de constructions en fonte, en fer ou en acier n.c.a. (à l’exclusion des ponts et éléments de ponts, des tours et pylônes, des portes, fenêtres et leurs cadres, chambranles et seuils, du matériel d’échafaudage, de coffrage, d’étançonnement ou d’étayage, ainsi que des constructions et parties de constructions non uniquement ou principalement en tôle)|Waterkeringen, sluisdeuren, aanlegsteigers, vaste dokken en andere waterbouwkundige constructiewerken, van ijzer of van staal, alsmede constructiewerken en delen van constructiewerken, van ijzer of van staal, n.e.g. (excl. bruggen en brugdelen; vakwerkmasten en andere masten; hekken; deuren en ramen, alsmede kozijnen daarvoor, drempels; steiger-, bekistings-, steun- en stutmateriaal; constructiewerken en delen van constructiewerken, niet uitsluitend of hoofdzakelijk vervaardigd van platen)|kg|-
25.11.23.70|Constructions et parties de constructions en aluminium n.c.a. (à l’exclusion des portes, fenêtres et leurs cadres, chambranles et seuils)|Constructiewerken en delen van constructiewerken, van aluminium, n.e.g.|kg|-
25.12.10.30|Portes, fenêtres et leurs cadres, chambranles, seuils, en fonte, en fer ou en acier|Deuren en ramen, alsmede kozijnen daarvoor en drempels, van ijzer of van staal|p/st|-
25.12.10.50|Portes, fenêtres et leurs cadres, chambranles et seuils, en aluminium|Deuren en ramen, alsmede kozijnen daarvoor en drempels, van aluminium|p/st|-
25.21.11.00|Radiateurs pour le chauffage central, à chauffage non électrique, et leurs parties, en fonte, en fer ou en acier|Radiatoren voor centrale verwarming, niet-elektrisch verwarmd, alsmede delen daarvan, van gietijzer, van ijzer of van staal|-|-
25.21.12.00|Chaudières pour le chauffage central (à l’exclusion de celles relevant du SH 8402)|Ketels voor centrale verwarming, andere dan die bedoeld bij GS-post 8402|p/st|-
25.21.13.00|Parties de chaudières pour le chauffage central (à l’exclusion de celles relevant du SH 8402)|Delen van ketels voor centrale verwarming|-|-
25.29.11.10|Réservoirs, foudres, cuves et récipients similaires en fonte, en fer ou en acier, pour matières gazeuses non comprimées ou liquéfiées, d’une contenance > 300 l (sans dispositifs mécaniques ou thermiques)|Reservoirs, kuipen en dergelijke bergingsmiddelen, van ijzer of van staal, met een inhoudsruimte > 300 l, voor gassen (excl. die voor gecomprimeerd of vloeibaar gemaakt gas en die voorzien van een mechanische inrichting of van een inrichting om te koelen of te warmen)|kg|-
25.29.11.20|Réservoirs, foudres, cuves et récipients similaires en fonte, en fer ou en acier, pour matières liquides, avec revêtement intérieur ou calorifuge, d’une contenance > 300 l (sans dispositifs mécaniques ou thermiques)|Reservoirs, voeders, kuipen en dergelijke bergingsmiddelen, van ijzer of van staal, inwendig bekleed of voorzien van een warmte-isolerende bekleding, met een inhoudsruimte > 300 l, voor vloeistoffen (excl. die voorzien van een mechanische inrichting of van een inrichting om te koelen of te warmen)|kg|-
25.29.11.30|Réservoirs, foudres, cuves et récipients similaires en fonte, en fer ou en acier, pour matières liquides, autres qu’avec revêtement intérieur ou calorifuge, d’une contenance > 100 000 l (sans dispositifs mécaniques ou thermiques)|Reservoirs, voeders, kuipen en dergelijke bergingsmiddelen, van ijzer of van staal, met een inhoudsruimte > 300 l, voor vloeistoffen (excl. die voorzien van een mechanische inrichting of van een inrichting om te koelen of te warmen of die welke inwendig zijn bekleed of voorzien zijn van een warmte-isolerende bekleding)|kg|-
25.29.11.50|Réservoirs, foudres, cuves et récipients similaires en fonte, en fer ou en acier, pour matières solides, d’une contenance > 300 l (sans dispositifs mécaniques ou thermiques)|Reservoirs, voeders, kuipen en dergelijke bergingsmiddelen, van ijzer of van staal, met een inhoudsruimte > 300 l, voor vaste stoffen (excl. die voorzien van een mechanische inrichting of van een inrichting om te koelen of te warmen)|kg|-
