Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Te voet (%),Fiets (%),Openbaar vervoer (%),Auto (%),Andere (%)
 Nijlen ,12026,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.18,0.17,0.6,0.04
 Nijlen ,12026,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.25,0.18,0.54,0.03
 Ninove ,41048,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.07,0.27,0.55,0.05
 Ninove ,41048,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.05,0.05,0.24,0.63,0.03
 Olen ,13029,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.18,0.11,0.67,0.01
 Olen ,13029,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.24,0.08,0.61,0.04
 Oostende ,35013,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.09,0.21,0.17,0.51,0.03
 Oostende ,35013,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.24,0.21,0.44,0.04
 Oostende ,35013,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.05,0.27,0.19,0.46,0.02
 Oosterzele ,44052,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.12,0.15,0.62,0.07
 Oosterzele ,44052,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.14,0.14,0.68,0.03
 Oostkamp ,31022,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.11,0.15,0.68,0.03
 Oostkamp ,31022,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.19,0.13,0.65,0.03
 Oostrozebeke ,37010,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.11,0.1,0.71,0.03
 Oostrozebeke ,37010,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.09,0.09,0.77,0.03
 Opglabbeek ,71047,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.06,0.07,0.79,0.04
 Opwijk ,23060,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.12,0.23,0.59,0.03
 Opwijk ,23060,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.11,0.24,0.58,0.05
 Oudenaarde ,45035,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.08,0.15,0.15,0.59,0.03
 Oudenaarde ,45035,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.1,0.17,0.64,0.05
 Oudenburg ,35014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.14,0.07,0.69,0.06
 Oudenburg ,35014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.12,0.07,0.74,0.04
 Oud-Heverlee ,24086,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.22,0.14,0.57,0.04
 Oud-Heverlee ,24086,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.25,0.1,0.62,0.02
 Oudsbergen ,72042,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.1,0.08,0.78,0.03
 Oud-Turnhout ,13031,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.27,0.08,0.61,0.02
 Oud-Turnhout ,13031,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.25,0.1,0.63,0.01
 Overijse ,23062,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.03,0.23,0.68,0.05
 Overijse ,23062,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.08,0.22,0.67,0.02
 Overpelt ,72029,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.17,0.06,0.72,0.01
 Peer ,72030,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.14,0.06,0.74,0.04
 Peer ,72030,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.19,0.05,0.75,0.01
 Pelt ,72043,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.16,0.1,0.7,0.03
 Pepingen ,23064,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.1,0.22,0.61,0.04
 Pepingen ,23064,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.06,0.22,0.68,0.03
 Pittem ,37011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.07,0.13,0.7,0.06
 Pittem ,37011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.12,0.12,0.71,0.04
 Poperinge ,33021,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.08,0.18,0.07,0.65,0.02
 Poperinge ,33021,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.21,0.07,0.7,0.0
 Putte ,12029,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.1,0.15,0.7,0.02
 Putte ,12029,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.18,0.12,0.67,0.02
 Puurs ,12030,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.18,0.1,0.7,0.01
 Puurs-Sint-Amands ,12041,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.17,0.15,0.65,0.02
 Ranst ,11035,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.23,0.13,0.6,0.02
 Ranst ,11035,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.28,0.06,0.64,0.01
 Ravels ,13035,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.13,0.12,0.68,0.05
 Ravels ,13035,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.19,0.06,0.73,0.02
 Retie ,13036,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.15,0.08,0.7,0.03
 Retie ,13036,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.18,0.06,0.72,0.02
 Riemst ,73066,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.05,0.07,0.8,0.07
 Riemst ,73066,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.07,0.05,0.83,0.03
 Rijkevorsel ,13037,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.23,0.11,0.61,0.03
 Rijkevorsel ,13037,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.23,0.05,0.66,0.05
 Roeselare ,36015,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.05,0.23,0.1,0.59,0.03
 Roeselare ,36015,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.22,0.09,0.63,0.02
 Roeselare ,36015,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.21,0.11,0.63,0.03
 Ronse ,45041,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.08,0.05,0.19,0.64,0.03
 Ronse ,45041,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.07,0.15,0.72,0.03
 Roosdaal ,23097,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.04,0.22,0.67,0.03
 Roosdaal ,23097,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.1,0.18,0.67,0.04
 Rotselaar ,24094,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.15,0.21,0.54,0.05
 Rotselaar ,24094,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.21,0.19,0.56,0.02
 Ruiselede ,37012,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.05,0.12,0.7,0.05
 Ruiselede ,37012,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.12,0.09,0.75,0.04
 Rumst ,11037,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.15,0.17,0.62,0.03
 Rumst ,11037,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.17,0.08,0.71,0.01
 Schelle ,11038,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.26,0.13,0.56,0.04
 Schelle ,11038,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.29,0.16,0.53,0.01
 Scherpenheuvel-Zichem ,24134,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.09,0.22,0.63,0.04
 Scherpenheuvel-Zichem ,24134,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.1,0.16,0.71,0.03
 Schilde ,11039,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.13,0.1,0.68,0.06
 Schilde ,11039,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.09,0.11,0.78,0.03
 Schoten ,11040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.23,0.12,0.56,0.06
 Schoten ,11040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.27,0.13,0.56,0.02
 Sint-Amands ,12034,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.16,0.11,0.67,0.01
 Sint-Genesius-Rode ,23101,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.05,0.2,0.68,0.02
 Sint-Genesius-Rode ,23101,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.08,0.32,0.55,0.03
 Sint-Gillis-Waas ,46020,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.12,0.09,0.66,0.09
 Sint-Gillis-Waas ,46020,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.12,0.11,0.76,0.01
 Sint-Katelijne-Waver ,12035,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.17,0.16,0.55,0.05
 Sint-Katelijne-Waver ,12035,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.27,0.16,0.53,0.03
 Sint-Laureins ,43014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.12,0.05,0.74,0.05
 Sint-Laureins ,43014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.05,0.15,0.74,0.05
 Sint-Lievens-Houtem ,41063,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.07,0.2,0.65,0.07
 Sint-Lievens-Houtem ,41063,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.06,0.18,0.71,0.02
 Sint-Martens-Latem ,44064,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.13,0.11,0.71,0.04
 Sint-Martens-Latem ,44064,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.11,0.16,0.69,0.03
 Sint-Niklaas ,46021,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.02,0.24,0.17,0.55,0.02
 Sint-Niklaas ,46021,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.22,0.18,0.53,0.04
 Sint-Niklaas ,46021,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.24,0.2,0.5,0.03
 Sint-Pieters-Leeuw ,23077,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.02,0.33,0.57,0.02
 Sint-Pieters-Leeuw ,23077,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.12,0.25,0.57,0.04
 Sint-Truiden ,71053,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.09,0.1,0.13,0.66,0.03
 Sint-Truiden ,71053,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.1,0.21,0.62,0.04
 Spiere-Helkijn ,34043,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.01,0.1,0.86,0.01
 Spiere-Helkijn ,34043,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.05,0.1,0.85,0.0
 Stabroek ,11044,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.15,0.18,0.64,0.02
 Stabroek ,11044,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.18,0.13,0.65,0.04
 Staden ,36019,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.12,0.11,0.66,0.05
 Staden ,36019,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.16,0.13,0.7,0.01
 Steenokkerzeel ,23081,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.07,0.21,0.68,0.03
 Steenokkerzeel ,23081,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.12,0.13,0.73,0.01
 Stekene ,46024,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.1,0.13,0.71,0.04
 Stekene ,46024,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.22,0.11,0.62,0.03
 Temse ,46025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.12,0.13,0.67,0.05
 Temse ,46025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.15,0.1,0.71,0.02
 Ternat ,23086,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.08,0.19,0.65,0.04
 Ternat ,23086,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.12,0.3,0.54,0.02
 Tervuren ,24104,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.13,0.17,0.59,0.07
 Tervuren ,24104,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.16,0.19,0.62,0.01
 Tessenderlo ,71057,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.1,0.14,0.66,0.06
 Tessenderlo ,71057,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.13,0.05,0.8,0.02
 Tielt ,37015,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.1,0.16,0.06,0.66,0.03
 Tielt ,37015,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.17,0.13,0.65,0.03
 Tielt-Winge ,24135,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.05,0.21,0.68,0.03
 Tielt-Winge ,24135,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.08,0.19,0.68,0.05
 Tienen ,24107,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.1,0.06,0.22,0.61,0.02
 Tienen ,24107,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.05,0.11,0.25,0.56,0.03
 Tongeren ,73083,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.09,0.06,0.12,0.68,0.04
 Tongeren ,73083,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.05,0.04,0.08,0.83,0.0
 Torhout ,31033,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.15,0.14,0.61,0.03
 Torhout ,31033,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.12,0.17,0.65,0.04
 Tremelo ,24109,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.12,0.12,0.72,0.02
 Tremelo ,24109,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.15,0.18,0.63,0.04
 Turnhout ,13040,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.06,0.33,0.11,0.48,0.02
 Turnhout ,13040,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.3,0.12,0.51,0.02
 Turnhout ,13040,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.04,0.32,0.12,0.49,0.03
 Veurne ,38025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.2,0.12,0.54,0.08
 Veurne ,38025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.04,0.24,0.1,0.6,0.02
 Vilvoorde ,23088,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.09,0.23,0.57,0.03
 Vilvoorde ,23088,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.05,0.15,0.27,0.5,0.04
 Vleteren ,33041,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.12,0.06,0.76,0.03
 Vleteren ,33041,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.07,0.08,0.79,0.03
 Voeren ,73109,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.08,0.06,0.06,0.77,0.04
 Voeren ,73109,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.08,0.08,0.81,0.01
 Vorselaar ,13044,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.19,0.12,0.63,0.03
 Vorselaar ,13044,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.22,0.09,0.66,0.02
 Vosselaar ,13046,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.31,0.1,0.5,0.07
 Vosselaar ,13046,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.32,0.13,0.52,0.03
 Waarschoot ,44072,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.18,0.12,0.6,0.09
 Waasmunster ,42023,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.09,0.11,0.72,0.05
 Waasmunster ,42023,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.17,0.11,0.68,0.04
 Wachtebeke ,44073,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.16,0.09,0.7,0.03
 Wachtebeke ,44073,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.15,0.07,0.76,0.02
 Waregem ,34040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.14,0.16,0.62,0.04
 Waregem ,34040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.18,0.17,0.61,0.01
 Wellen ,73098,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.06,0.07,0.78,0.04
 Wellen ,73098,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.1,0.05,0.83,0.01
 Wemmel ,23102,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.09,0.07,0.23,0.55,0.05
 Wemmel ,23102,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.09,0.24,0.63,0.01
 Wervik ,33029,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.14,0.05,0.72,0.04
 Wervik ,33029,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.15,0.06,0.74,0.03
 Westerlo ,13049,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.19,0.09,0.65,0.05
 Westerlo ,13049,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.2,0.05,0.7,0.03
 Wetteren ,42025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.08,0.12,0.22,0.56,0.03
 Wetteren ,42025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.16,0.18,0.6,0.02
 Wevelgem ,34041,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.26,0.1,0.61,0.01
 Wevelgem ,34041,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.21,0.11,0.63,0.02
 Wezembeek-Oppem ,23103,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.07,0.31,0.57,0.04
 Wezembeek-Oppem ,23103,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.14,0.24,0.58,0.03
 Wichelen ,42026,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.07,0.19,0.65,0.05
 Wichelen ,42026,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.12,0.22,0.63,0.02
 Wielsbeke ,37017,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.11,0.13,0.67,0.04
 Wielsbeke ,37017,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.16,0.12,0.68,0.03
 Wijnegem ,11050,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.21,0.18,0.53,0.03
 Wijnegem ,11050,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.36,0.11,0.49,0.01
 Willebroek ,12040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.15,0.11,0.66,0.05
 Willebroek ,12040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.16,0.17,0.65,0.02
 Wingene ,37018,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.09,0.11,0.72,0.04
 Wingene ,37018,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.08,0.1,0.79,0.03
 Wommelgem ,11052,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.16,0.15,0.57,0.06
 Wommelgem ,11052,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.3,0.11,0.55,0.03
 Wortegem-Petegem ,45061,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.05,0.11,0.76,0.02
 Wortegem-Petegem ,45061,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.06,0.14,0.79,0.01
 Wuustwezel ,11053,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.13,0.14,0.67,0.04
 Wuustwezel ,11053,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.14,0.16,0.63,0.04
 Zandhoven ,11054,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.13,0.1,0.68,0.06
 Zandhoven ,11054,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.19,0.11,0.63,0.07
 Zaventem ,23094,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.05,0.23,0.61,0.05
 Zaventem ,23094,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.04,0.26,0.66,0.01
 Zedelgem ,31040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.15,0.12,0.66,0.04
 Zedelgem ,31040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.18,0.13,0.67,0.01
 Zele ,42028,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.22,0.16,0.55,0.04
 Zele ,42028,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.16,0.16,0.65,0.02
 Zelzate ,43018,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.15,0.1,0.66,0.05
 Zelzate ,43018,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.21,0.08,0.69,0.02
 Zemst ,23096,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.11,0.16,0.68,0.05
 Zemst ,23096,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.2,0.16,0.61,0.02
 Zingem ,45057,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.06,0.14,0.73,0.03
 Zoersel ,11055,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.11,0.11,0.7,0.05
 Zoersel ,11055,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.17,0.1,0.68,0.04
 Zomergem ,44080,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.1,0.14,0.67,0.06
 Zonhoven ,71066,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.1,0.08,0.72,0.07
 Zonhoven ,71066,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.16,0.08,0.74,0.02
 Zonnebeke ,33037,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.09,0.08,0.1,0.7,0.03
 Zonnebeke ,33037,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.09,0.09,0.78,0.02
 Zottegem ,41081,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.11,0.07,0.29,0.52,0.01
 Zottegem ,41081,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.12,0.33,0.5,0.03
 Zoutleeuw ,24130,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.06,0.13,0.71,0.07
 Zoutleeuw ,24130,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.04,0.12,0.79,0.03
 Zuienkerke ,31042,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.09,0.12,0.66,0.07
